,mapped_veh_id,timestamps_utc,lat,lon,rs_e_inairtemp_pc1,rs_e_inairtemp_pc2,rs_e_oilpress_pc1,rs_e_oilpress_pc2,rs_e_rpm_pc1,rs_e_rpm_pc2,rs_e_wattemp_pc1,rs_e_wattemp_pc2,rs_t_oiltemp_pc1,rs_t_oiltemp_pc2,pg_point,utm_point,anomaly id
68,102,2023-05-19 01:37:50,50.855865,3.607164,10.0,8.0,596.0,569.0,801.0,802.0,17.0,18.0,16.0,14.0,0101000020E6100000E6779ACC78DB0C404165FCFB8C6D4940,0101000020777F0000D57C3F502090204156C66216ED7D5541,iso results
179,102,2023-04-22 03:33:15,51.0160099,3.7740372,6.0,8.0,562.0,583.0,802.0,801.0,20.0,18.0,14.0,16.0,0101000020E61000006B195F6A3A310E40C474C69C0C824940,0101000020777F00009EC8B1AF6DEA20414F8AD4956C8F5541,iso results
203,102,2023-04-22 03:32:14,51.0160273,3.7740699,6.0,8.0,565.0,610.0,788.0,801.0,16.0,16.0,13.0,14.0,0101000020E61000003F8B4A8F4B310E40EDABBC2E0D824940,0101000020777F000084C5AB3B72EA20414DD934136D8F5541,iso results
300,102,2023-03-27 02:28:47,50.7744281,3.872819,4.0,5.0,558.0,565.0,797.0,799.0,25.0,21.0,8.0,8.0,0101000020E6100000909E228788FB0E403D4DC17520634940,0101000020777F0000DC1699BE0A232141CF7AF10344755541,iso results
345,102,2023-03-27 02:26:51,50.7740737,3.8726527,4.0,4.0,576.0,589.0,799.0,800.0,21.0,17.0,15.0,6.0,0101000020E6100000F920BA5631FB0E40CC18D5D814634940,0101000020777F0000E5724239F42221413EE9F6203A755541,iso results
451,102,2023-02-06 00:06:06,50.8553621,3.6062971,3.0,4.0,583.0,603.5,799.0,801.0,11.0,11.0,3.0,5.0,0101000020E6100000F246414BB2D90C4073DE5A817C6D4940,0101000020777F00002BEF3832A78F20418C2D48FBDE7D5541,iso results
549,102,2023-01-25 09:16:48,51.0165119,3.7726647,6.0,3.0,576.0,610.0,800.0,813.0,27.0,15.0,19.0,13.0,0101000020E610000070308AD46A2E0E40563FDB0F1D824940,0101000020777F0000FF6C63F8ABE9204139DBE0497A8F5541,iso results
571,102,2023-04-03 08:54:52,51.01427,3.7791292,5.0,5.0,572.0,589.0,802.0,801.0,21.0,16.0,11.0,9.0,0101000020E610000080DE0A17A83B0E402FA86F99D3814940,0101000020777F0000BF59DA1F3CED20412E9CF2273D8F5541,iso results
629,102,2023-04-03 08:53:53,51.0142703,3.7791433,5.0,5.0,576.0,607.0,800.0,797.0,16.0,13.0,10.0,8.0,0101000020E61000001D2E837BAF3B0E40EDE6F39BD3814940,0101000020777F00005B5C131A3EED20410F7DC02A3D8F5541,iso results
685,102,2023-03-11 09:10:00,50.8567127,3.6081022,2.0,3.0,548.0,552.0,799.0,798.0,29.0,24.0,5.0,6.0,0101000020E61000005501ADAF64DD0C40B04802C3A86D4940,0101000020777F0000761775D5A2902041DDFB0BCA047E5541,iso results
885,102,2023-03-27 02:22:50,50.7740202,3.8727013,4.0,4.0,624.0,603.0,799.0,795.0,8.0,7.0,17.0,5.0,0101000020E6100000DA69B5D14AFB0E40C1B80A1813634940,0101000020777F0000D7CBAB37FB222141066ED0A638755541,iso results
1016,102,2023-02-08 03:40:46,50.7740964,3.8731011,1.0,3.0,583.0,572.0,803.0,799.0,21.0,21.0,16.0,17.0,0101000020E610000021D0F46D1CFC0E40C5F9409715634940,0101000020777F00005D4E546533232141468864DA3A755541,iso results
1123,102,2023-02-27 05:40:39,51.0139644,3.778878,1.0,1.0,586.0,520.0,799.0,803.0,18.0,33.0,9.0,19.0,0101000020E610000053978C63243B0E4075A7E095C9814940,0101000020777F0000B49FD69919ED20413BDB189D348F5541,iso results
1236,102,2023-07-08 14:16:32,51.0133074,3.7805483,25.0,26.0,572.0,589.0,1082.0,1085.0,33.0,33.0,28.0,30.0,0101000020E610000051966B1B903E0E40BCE58F0EB4814940,0101000020777F00002BB4647B05EE20414CE39AA8228F5541,iso results
1358,102,2023-04-03 08:54:37,51.0144462,3.7785407,5.0,6.0,586.0,583.0,799.0,798.0,20.0,15.0,9.0,9.0,0101000020E6100000EFD6E88B733A0E409746825FD9814940,0101000020777F00007A22D625E9EC20411B4008F2418F5541,iso results
1565,102,2023-03-27 22:09:19,50.7745219,3.8730284000000004,3.6666666666666665,5.0,17.0,42.333333333333336,43.333333333333336,100.33333333333333,26.333333333333332,27.333333333333332,76.66666666666667,82.0,0101000020E61000006BD55350F6FB0E4095449B8823634940,0101000020777F00005E99E10628232141092AA2AA46755541,iso results
1577,102,2023-03-20 00:26:35,50.8548568,3.6058138,5.0,6.0,558.0,593.0,800.0,801.0,25.0,18.0,10.0,8.0,0101000020E610000050B9D3E7B4D80C40B16197F26B6D4940,0101000020777F000011FFF814648F20416E5F4FDDD07D5541,iso results
1588,102,2023-03-27 22:09:18,50.774093099999995,3.8729014,3.6666666666666665,5.0,17.0,42.333333333333336,48.0,108.0,26.333333333333332,27.333333333333332,76.33333333333333,81.66666666666667,0101000020E6100000980FADBAB3FB0E409547927B15634940,0101000020777F00008575573E17232141D74345B83A755541,iso results
1657,102,2023-02-06 00:07:06,50.8553463,3.6062611,3.0,4.0,576.0,610.0,796.0,799.0,15.0,15.0,4.0,5.0,0101000020E610000026B26A6B9FD90C4097A0D0FC7B6D4940,0101000020777F0000F4833C28A28F2041887E8189DE7D5541,iso results
1727,102,2023-02-08 03:40:56,50.7745486,3.8731851,1.0,3.0,562.0,586.0,798.0,798.0,21.0,21.0,20.0,17.0,0101000020E6100000FFD53E7848FC0E40D014956824634940,0101000020777F000027ACC70D3E232141EA9BFE7047755541,iso results
1838,102,2023-01-31 13:22:36,51.0162521,3.7734077,7.0,7.0,583.0,603.0,798.0,797.0,23.0,18.0,11.0,8.0,0101000020E6100000F0CB4F60F02F0E40E4FE7E8C14824940,0101000020777F00004F5D43CF14EA20419454E233738F5541,iso results
1891,102,2023-02-24 13:09:09,51.0124172,3.7816953,15.0,15.0,603.0,572.0,799.0,798.0,16.0,16.0,11.0,14.0,0101000020E6100000CA7E2777E9400E4036F405E396814940,0101000020777F0000BD746880A8EE204125C0B11F0A8F5541,iso results
1962,102,2023-07-08 14:16:37,51.0138054,3.7798647,25.0,26.0,576.0,586.0,1080.0,1085.0,33.0,33.0,28.0,30.0,0101000020E610000056702EB4293D0E400DC11660C4814940,0101000020777F0000FDBE4E67A4ED20413F935860308F5541,iso results
2099,102,2023-01-31 13:23:29,51.0162678,3.7734265,8.0,7.0,576.0,583.0,796.0,799.0,27.0,23.0,10.0,9.0,0101000020E6100000C1E09A3BFA2F0E402B7D321015824940,0101000020777F0000740C0F6917EA2041046781A4738F5541,iso results
2281,102,2023-03-01 01:50:29,51.015666100000004,3.77496655,2.0,2.0,17.25,37.75,26.25,34.0,15.25,18.0,59.5,28.0,0101000020E61000009BF39DA921330E40F493C55801824940,0101000020777F00001ADDFCDDF0EA2041E22BDF32638F5541,iso results
2332,102,2023-03-06 02:12:11,50.8566115,3.6081223,3.0,4.0,552.0,565.0,800.0,795.0,26.0,23.0,7.0,7.0,0101000020E610000014BF73396FDD0C4052F01472A56D4940,0101000020777F0000CE2B3BD9A590204186D092FA017E5541,iso results
2442,102,2023-02-28 00:36:28,51.0155793,3.7746156,3.0,2.0,538.0,541.0,798.0,799.0,29.0,27.0,18.0,16.0,0101000020E610000077C5E7A969320E404EFFA380FE814940,0101000020777F0000E9ABE3D5BFEA20414B918FB8608F5541,iso results
2525,102,2023-02-27 05:40:38,51.0137452,3.7794112,1.0,1.0,586.0,527.0,799.0,797.0,18.0,33.0,9.0,19.0,0101000020E6100000C41671F03B3C0E400E3D1867C2814940,0101000020777F00002261E1EB64ED204108325F9E2E8F5541,iso results
2614,102,2023-01-31 13:23:07,51.0160206,3.7739728,7.5,7.0,572.0,596.0,801.0,801.0,25.0,21.0,9.0,8.0,0101000020E6100000CAF2BFA618310E40F98788F60C824940,0101000020777F0000C6FA72A064EA2041C400F2DE6C8F5541,iso results
2664,102,2023-03-11 09:11:04,50.8567355,3.6081136,3.0,3.0,545.0,562.0,796.0,799.0,30.0,25.0,8.0,6.0,0101000020E6100000C905C2A96ADD0C403EE94482A96D4940,0101000020777F000081CE9765A49020411174BB6C057E5541,iso results
2687,102,2023-03-11 09:03:01,50.856756,3.6080845,1.0,1.0,606.5,596.0,769.5,806.0,5.0,9.0,0.0,1.0,0101000020E6100000D7A205685BDD0C406D533C2EAA6D4940,0101000020777F00004F724F43A09020413F1B8CFD057E5541,iso results
3004,102,2023-03-27 02:24:33,50.7744433,3.8728279,4.0,4.0,607.0,586.0,798.0,801.0,14.0,12.0,4.0,6.0,0101000020E6100000764AAC318DFB0E409C0D43F520634940,0101000020777F00006597ACF50B23214131EF967044755541,iso results
3061,102,2023-03-11 09:02:16,50.8563969,3.6076521,1.0,1.0,617.0,600.0,774.0,796.0,0.0,6.0,9.0,1.0,0101000020E61000000AC446B478DC0C40A9F2E2699E6D4940,0101000020777F0000C90E1D0D64902041D9D5E1F1FB7D5541,iso results
3135,102,2023-08-24 15:25:15,51.01572335,3.7740138500000002,23.0,23.0,576.0,596.0,797.5,801.0,25.0,23.0,18.0,21.0,0101000020E61000005A35632C2E310E404C04053903824940,0101000020777F0000A23370146BEA2041C6C65F9D648F5541,iso results
3566,102,2023-03-27 02:29:37,50.7744375,3.8728238,5.0,5.0,552.0,558.0,798.0,800.0,26.0,23.0,11.0,8.0,0101000020E6100000125D610B8BFB0E40E3A59BC420634940,0101000020777F00003FC88F650B232141E64E184744755541,iso results
3590,102,2023-03-06 02:11:10,50.85662,3.6081377,3.0,4.0,562.0,579.0,802.0,797.0,25.0,21.0,8.0,6.0,0101000020E61000009FB7674C77DD0C40BD8C62B9A56D4940,0101000020777F00008FBD3700A89020411122A337027E5541,iso results
3602,102,2023-03-20 00:26:53,50.8552118,3.606216,5.0,6.0,558.0,562.0,796.0,800.0,26.0,19.0,8.0,9.0,0101000020E6100000D87E32C687D90C409F138C94776D4940,0101000020777F0000F8B0C20D9C8F2041A893A1CADA7D5541,iso results
3625,102,2023-02-06 00:10:16,50.8550691,3.6059039,4.0,4.0,555.0,562.0,801.0,798.0,28.0,26.0,6.0,8.0,0101000020E61000009D26D824E4D80C40FB287EE7726D4940,0101000020777F00006A89E560708F2041EA2B88C7D67D5541,iso results
3698,102,2023-02-06 00:10:09,50.8553517,3.6062937,4.0,4.0,569.0,586.0,798.0,801.0,27.0,26.0,6.0,8.0,0101000020E6100000AC2AEA82B0D90C40FC091D2A7C6D4940,0101000020777F0000B47E8DBCA68F2041C74524B1DE7D5541,iso results
3704,102,2023-02-28 00:33:28,51.0155456,3.774589,3.0,2.0,569.0,586.0,801.0,799.0,20.0,20.0,20.0,14.0,0101000020E610000013BBB6B75B320E4061CCF165FD814940,0101000020777F0000F3F6BC2EBCEA20410F2677C75F8F5541,iso results
3841,102,2023-01-31 13:21:26,51.0160209,3.7739941,7.0,7.0,600.0,600.0,801.0,800.0,18.0,15.0,5.0,8.0,0101000020E6100000296096D123310E40B8C60CF90C824940,0101000020777F0000FCB93B9D67EA20417DA315E26C8F5541,iso results
3867,102,2023-08-09 10:00:56,51.0156267,3.7749757,18.0,18.0,586.0,610.0,798.0,804.0,18.0,18.0,14.0,14.0,0101000020E6100000C38EB57526330E40E2B8420E00824940,0101000020777F00008B2A303EF2EA2041A393E51A628F5541,iso results
4106,102,2023-03-11 09:06:00,50.8567257,3.6080977,1.0,2.0,589.0,589.0,801.0,804.0,18.0,16.0,4.0,3.0,0101000020E6100000BC2EB25362DD0C4044920F30A96D4940,0101000020777F00005ACA322DA290204192ED6526057E5541,iso results
4318,102,2023-04-03 08:52:53,51.0143082,3.7791682,5.0,5.0,596.0,610.0,801.0,802.0,12.0,10.0,9.0,9.0,0101000020E61000005EAA8889BC3B0E404688E1D9D4814940,0101000020777F0000CC128D8141ED2041ED3BAA393E8F5541,iso results
4404,102,2023-07-20 13:22:58,51.0233224,3.7596996,21.0,22.0,562.0,572.0,799.0,797.0,21.0,20.0,19.0,19.0,0101000020E610000035464662DD130E40D2A1783AFC824940,0101000020777F0000AD9C648681E22041896FBC4235905541,iso results
4418,102,2023-01-31 13:20:26,51.0160332,3.7739967,7.0,7.0,603.0,600.0,799.0,800.0,13.0,11.0,6.0,8.0,0101000020E610000005B28D2E25310E403BD33A600D824940,0101000020777F0000E34741F367EA2041A7CBBE396D8F5541,iso results
4468,102,2023-03-11 09:05:58,50.8563456,3.6076985,1.0,2.0,586.0,576.0,798.0,799.0,17.0,16.0,2.0,3.0,0101000020E610000045A0FA0791DC0C4068098DBB9C6D4940,0101000020777F0000024644AD6A902041EAAC8286FA7D5541,iso results
4525,102,2023-03-11 09:09:51,50.8567135,3.6081095,2.0,2.0,552.0,569.0,799.0,803.0,29.0,23.0,4.0,6.0,0101000020E61000006518778368DD0C405645B8C9A86D4940,0101000020777F000009FE26DCA39020416ACC02D0047E5541,iso results
4684,102,2023-03-27 02:23:33,50.7744446,3.8728294,4.0,4.0,596.0,603.0,800.0,805.0,11.0,9.0,0.0,5.0,0101000020E6100000FFE5FFFA8DFB0E402BC82A0021634940,0101000020777F0000B957F32A0C23214117CAEB7944755541,iso results
4689,102,2023-03-27 02:26:33,50.7744394,3.8728445,4.0,4.0,576.0,596.0,798.0,799.0,20.0,17.0,6.0,6.0,0101000020E6100000A1F2AFE595FB0E40EFDD8BD420634940,0101000020777F0000AD9E8D4F0E232141F509B85544755541,iso results
4696,102,2023-03-06 02:09:07,50.856606,3.6081251,3.0,3.0,583.0,569.0,798.0,799.0,20.0,16.0,8.0,5.0,0101000020E61000008B0343B170DD0C4058C7F143A56D4940,0101000020777F0000EC6EB640A690204132F688D3017E5541,iso results
4807,102,2023-02-27 05:42:29,51.01377563333333,3.7792594666666663,1.0,1.0,571.0,514.0,800.0,796.0,25.0,35.0,13.333333333333334,20.0,0101000020E610000031742363EC3B0E40FD526366C3814940,0101000020777F00009B6EFA8F4FED20412ECCC26F2F8F5541,iso results
4828,102,2023-02-06 00:07:14,50.8549785,3.6058502,3.0,4.0,589.0,589.0,799.0,798.0,16.0,15.0,8.0,5.0,0101000020E610000052335AFDC7D80C403E247CEF6F6D4940,0101000020777F00000140F2FB688F20412570C440D47D5541,iso results
4845,102,2023-02-08 03:39:55,50.7745553,3.8731827,1.0,3.0,596.0,572.0,800.0,801.0,18.0,18.0,16.0,17.0,0101000020E6100000BE761F3647FC0E40C438C9A024634940,0101000020777F000086FFA2B23D232141D3448CA047755541,iso results
4919,102,2023-02-06 00:07:27,50.8553488,3.6062581,3.0,4.0,607.0,610.0,800.0,799.0,17.0,16.0,7.0,6.0,0101000020E6100000147BC3D89DD90C402056C9117C6D4940,0101000020777F00002848F4BAA18F204110D82F9BDE7D5541,iso results
5069,102,2023-02-24 13:13:29,51.0130454,3.7807922,15.0,15.0,607.0,610.0,1287.0,1262.0,38.0,37.0,36.0,35.0,0101000020E61000006FC61FFB0F3F0E407F2EBF78AB814940,0101000020777F0000067C4A5128EE204104BB916B1B8F5541,iso results
5129,102,2023-08-30 05:24:15,51.0140836,3.7798631,15.0,15.0,538.0,589.0,1259.0,1235.0,40.0,38.0,20.0,23.0,0101000020E610000080DB6EDD283D0E4079B4CC7DCD814940,0101000020777F000002864086A3ED2041889E321C388F5541,iso results
5248,102,2023-03-27 02:24:50,50.7740002,3.8727037,4.0,4.0,593.0,583.0,801.0,801.0,15.0,12.0,14.0,6.0,0101000020E61000001BC9D4134CFB0E407A0C457012634940,0101000020777F0000787ABF9BFB222141F9269C1838755541,iso results
5311,102,2023-03-20 00:27:56,50.8552244,3.6062367,5.0,6.0,555.0,583.0,802.0,798.0,28.0,21.0,9.0,9.0,0101000020E6100000681481A092D90C40E05E3EFE776D4940,0101000020777F000080DEDCF19E8F2041965E1125DB7D5541,iso results
5393,102,2023-02-06 00:11:08,50.8553458,3.6062667,4.0,5.0,562.0,569.0,797.0,797.0,30.0,28.0,8.0,9.0,0101000020E6100000123B095BA2D90C40AFE29EF87B6D4940,0101000020777F0000C46E48F2A28F2041798B2786DE7D5541,iso results
5509,102,2023-01-31 13:21:36,51.0162694,3.7734176,7.0,7.0,576.0,579.0,797.0,804.0,18.0,15.0,6.0,6.0,0101000020E6100000DC341191F52F0E4078769E1D15824940,0101000020777F00007BCE782816EA2041682A79AF738F5541,iso results
5520,102,2023-01-25 09:18:34,51.0162981,3.7732211,6.0,3.0,541.0,586.0,800.0,800.0,31.0,20.0,19.0,14.0,0101000020E6100000FF9D488B8E2F0E40543E5F0E16824940,0101000020777F0000B3174F86FAE9204196437972748F5541,iso results
5837,102,2023-03-01 13:42:25,51.0157412,3.7746557,16.0,6.0,576.0,586.0,801.0,799.0,18.0,13.0,12.0,8.0,0101000020E6100000A74709B07E320E409399C1CE03824940,0101000020777F000017052A15C5EA204132E1AE3A658F5541,iso results
5892,102,2023-03-20 00:25:35,50.8548654,3.6058065,5.0,5.0,565.0,586.0,800.0,802.0,20.0,16.0,7.0,8.0,0101000020E610000040A20914B1D80C40B1BDBB3A6C6D4940,0101000020777F00006089E009638F2041A8A53E1AD17D5541,iso results
5931,102,2023-03-06 02:10:57,50.8562985,3.6076863,3.0,4.0,545.0,569.0,798.0,797.0,25.0,20.0,9.0,6.0,0101000020E610000066D185A28ADC0C40938E72309B6D4940,0101000020777F00005FD7AB0B69902041FF98DB36F97D5541,iso results
6050,102,2023-02-06 00:08:07,50.8553615,3.6062667,3.0,4.0,569.0,586.0,799.0,798.0,20.0,18.0,4.0,6.0,0101000020E6100000123B095BA2D90C40F660527C7C6D4940,0101000020777F00007E7CF2EAA28F2041BB52E3F5DE7D5541,iso results
6101,102,2023-02-28 00:33:26,51.015801,3.7740364,3.0,2.0,579.0,593.0,799.0,798.0,20.0,20.0,17.0,15.0,0101000020E6100000004FFFFE39310E403F1F65C405824940,0101000020777F00000FCDDE0F6EEA2041A40A11C7668F5541,iso results
6160,102,2023-02-08 03:42:56,50.7745226,3.8731652,1.0,2.0,541.0,565.0,803.0,803.0,27.0,27.0,15.0,18.0,0101000020E6100000DA0A50093EFC0E40A6817A8E23634940,0101000020777F000042B7DE503B2321417B19E7B646755541,iso results
6184,102,2023-02-10 03:59:45,50.7740953,3.8729912,5.0,7.0,589.0,555.0,801.0,798.0,18.0,23.0,18.0,22.0,0101000020E6100000FD906DCFE2FB0E4060BE068E15634940,0101000020777F00000CC2A8E6232321415DCBB5CC3A755541,iso results
6195,102,2023-02-08 03:43:50,50.7741236,3.8730924,2.0,2.0,545.0,558.0,798.0,804.0,28.0,30.0,18.0,18.0,0101000020E6100000D61643DE17FC0E40E9876C7B16634940,0101000020777F00003DEAF91832232141D631809B3B755541,iso results
6324,102,2023-03-11 09:12:04,50.8567364,3.6081123,3.0,3.0,531.0,534.0,800.0,798.0,31.0,27.0,11.0,8.0,0101000020E6100000DC5C46FB69DD0C407AA5D189A96D4940,0101000020777F000012BA5236A4902041ECD11673057E5541,iso results
6338,102,2023-03-11 09:02:56,50.8563929,3.6076423,1.0,1.0,610.0,607.0,804.0,797.0,5.0,8.0,0.0,1.0,0101000020E61000006C54F19073DC0C40680355489E6D4940,0101000020777F0000AE73D2AD62902041E1490DD5FB7D5541,iso results
6370,102,2023-08-24 15:25:24,51.0158343,3.7737194,23.0,23.0,569.0,593.0,801.0,801.0,25.0,24.0,21.0,21.0,0101000020E6100000F63EFACB93300E40D953BCDB06824940,0101000020777F00009BBF3E8341EA2041B8441EA5678F5541,iso results
6626,102,2023-04-22 03:34:19,51.0158089,3.7746275,6.0,7.0,569.0,576.0,801.0,801.0,22.0,21.0,15.0,15.0,0101000020E61000006DA818E76F320E402D3EAA0606824940,0101000020777F00003305E1F7C0EA20410D222B1B678F5541,iso results
6644,102,2023-03-11 09:09:00,50.856703,3.6081138,2.0,2.0,565.0,576.0,796.0,797.0,27.0,22.0,6.0,6.0,0101000020E610000064F899C46ADD0C404BB1A371A86D4940,0101000020777F0000C449087CA4902041FBB27185047E5541,iso results
6676,102,2023-03-11 09:07:19,50.856366,3.6076972,2.0,2.0,576.0,576.0,802.0,799.0,23.0,18.0,6.0,4.0,0101000020E610000057F77E5990DC0C4003B4AD669D6D4940,0101000020777F00002A26DD746A9020415A0AA517FB7D5541,iso results
6729,102,2023-03-11 09:09:52,50.8564076,3.6076602,2.0,2.5,551.5,565.0,799.0,800.0,29.0,23.0,8.0,6.0,0101000020E610000085A570F37CDC0C40DE05A5C39E6D4940,0101000020777F0000EEFB002C659020419AF7543EFC7D5541,iso results
6734,102,2023-05-19 01:36:49,50.8558832,3.6071584,10.0,9.0,607.0,600.0,801.0,798.0,14.0,16.0,12.0,13.0,0101000020E6100000F9EEFBDC75DB0C401199A8948D6D4940,0101000020777F00006BC0EB7D1F9020413938B497ED7D5541,iso results
6800,102,2023-03-06 02:07:08,50.8566072,3.6081409,2.0,3.0,583.0,607.0,804.0,802.0,13.0,11.0,2.0,4.0,0101000020E61000004BE1E6F978DD0C4052C2024EA56D4940,0101000020777F0000C81B8979A8902041F33AA9DC017E5541,iso results
6849,102,2023-03-06 02:07:07,50.8562915,3.6077165,2.0,3.0,610.0,586.0,801.0,794.0,13.0,11.0,4.0,5.0,0101000020E6100000ABEAE5779ADC0C40E02BBAF59A6D4940,0101000020777F0000C6A1464F6D9020417BCF2806F97D5541,iso results
6857,102,2023-03-27 02:25:49,50.7740324,3.8726944,4.0,4.0,583.0,603.0,799.0,797.0,18.0,15.0,7.0,5.0,0101000020E6100000FF379B3347FB0E40AF05627E13634940,0101000020777F000094256236FA22214131F044FD38755541,iso results
7047,102,2023-02-27 05:45:16,51.0138092,3.7792732,2.0,0.0,541.0,520.0,874.0,910.0,30.0,37.0,17.0,26.0,0101000020E6100000B3316596F33B0E402431F77FC4814940,0101000020777F00004924036951ED204156DB4D5F308F5541,iso results
7056,102,2023-02-06 00:09:46,50.8550753,3.6059018,4.0,4.0,572.0,576.0,800.0,805.0,27.0,25.0,7.0,7.0,0101000020E610000044B3FC0AE3D80C40078F801B736D4940,0101000020777F00006B385212708F2041681194F3D67D5541,iso results
7081,102,2023-02-08 03:41:56,50.7745351,3.8731942,1.0,2.0,562.0,558.0,802.0,797.0,25.0,25.0,15.0,17.0,0101000020E61000007F74A03D4DFC0E40530D56F723634940,0101000020777F000020F35C5F3F232141DCC0671147755541,iso results
7104,102,2023-02-27 05:41:49,51.0139653,3.7788725,1.0,1.0,572.0,514.0,800.0,798.0,23.0,35.0,11.0,20.0,0101000020E6100000B3075A81213B0E40B1636D9DC9814940,0101000020777F00002A2DC3D318ED204185CC3DA3348F5541,iso results
7105,102,2023-02-27 05:40:49,51.0139609,3.7788814,1.0,1.0,589.0,520.0,802.0,800.0,19.0,33.0,9.0,20.0,0101000020E610000099B3E32B263B0E401C768478C9814940,0101000020777F00005C6F0E161AED2041EC625984348F5541,iso results
7260,102,2023-03-01 13:41:59,51.0155716,3.7752455,16.0,6.0,600.0,589.0,801.0,801.0,17.0,11.0,12.0,8.0,0101000020E610000027F8A6E9B3330E408A5F0C40FE814940,0101000020777F00006D0FCE3818EB2041E6DB7D9F608F5541,iso results
7387,102,2023-02-06 00:09:48,50.8553683,3.6062893,4.0,4.0,572.0,576.0,800.0,798.0,27.0,25.0,7.0,7.0,0101000020E61000005F515B34AED90C407F445DB57C6D4940,0101000020777F0000C8983A16A68F2041361D1E27DF7D5541,iso results
7442,102,2023-02-28 00:32:27,51.0155733,3.7745881,3.0,2.0,603.0,572.0,799.0,797.0,17.0,16.0,16.0,15.0,0101000020E61000005AF7EA3E5B320E406C184F4EFE814940,0101000020777F00008553D7FDBBEA2041DCD28F8C608F5541,iso results
7510,102,2023-02-10 04:00:45,50.774106,3.8729807,5.0,6.0,572.0,569.0,800.0,801.0,22.0,25.0,17.0,22.0,0101000020E61000004150244EDDFB0E4096D1C8E715634940,0101000020777F000048A86A642223214155684C183B755541,iso results
7673,102,2023-04-03 08:55:53,51.0142765,3.7791438,6.0,6.0,555.0,586.0,802.0,798.0,26.0,18.0,10.0,9.0,0101000020E6100000A00C9FBEAF3B0E40F94CF6CFD3814940,0101000020777F0000253A4D283EED2041F78AE6563D8F5541,iso results
7839,102,2023-03-11 09:06:59,50.85636,3.6076927,2.0,2.0,576.0,589.0,800.0,798.0,22.0,18.0,2.0,3.0,0101000020E6100000BD2484FD8DDC0C4021CD58349D6D4940,0101000020777F00009CA381D56990204163F8C6ECFA7D5541,iso results
7968,102,2023-04-22 03:33:19,51.0158039,3.7746231,6.0,8.0,576.0,600.0,800.0,800.0,19.0,18.0,15.0,16.0,0101000020E610000021CF89986D320E401BD3B8DC05824940,0101000020777F0000C87AD95CC0EA20419A5260F7668F5541,iso results
8046,102,2023-02-24 13:12:30,51.0130701,3.7807016,15.0,15.0,627.0,631.0,1279.0,1253.0,28.0,27.0,25.0,23.0,0101000020E61000009F7AFF7AE03E0E401907F247AC814940,0101000020777F0000DA5D668C1BEE2041FE780C171C8F5541,iso results
8274,102,2023-03-12 22:54:02,50.8563862,3.6076751,10.0,9.0,565.0,596.0,800.0,802.0,22.0,17.0,15.0,9.0,0101000020E61000008CBF48C384DC0C4074DF20109E6D4940,0101000020777F0000B706FB4E6790204187B695A6FB7D5541,iso results
8319,102,2023-02-08 03:43:59,50.7745241,3.8732078,2.0,2.0,531.0,552.0,800.0,802.0,29.0,30.0,17.0,18.0,0101000020E610000099E5FC5E54FC0E405FBB0F9B23634940,0101000020777F00002716B75141232141A2E6D8C346755541,iso results
8355,102,2023-02-08 03:42:46,50.7741,3.8730836,1.0,2.0,545.0,558.0,799.0,802.0,27.0,27.0,17.0,17.0,0101000020E61000003E64254113FC0E40B3EA73B515634940,0101000020777F00000C1A28EB302321410F8814F33A755541,iso results
8366,102,2023-02-27 05:39:39,51.0137338,3.7794549,1.0,2.0,596.0,531.0,801.0,803.0,15.0,33.0,8.0,19.0,0101000020E6100000D6A7C1D9523C0E40C6EC7607C2814940,0101000020777F000055BD40146BED20417C47504F2E8F5541,iso results
8520,102,2023-03-11 09:08:52,50.8564032,3.6076551,2.0,2.0,569.0,565.0,801.0,798.0,27.0,22.0,7.0,5.0,0101000020E61000001BFBED467ADC0C404A18BC9E9E6D4940,0101000020777F00000654467664902041423ED41EFC7D5541,iso results
8565,102,2023-05-19 01:36:53,50.8555556,3.6067097,10.0,9.0,583.0,614.0,802.0,797.0,14.0,16.0,10.0,14.0,0101000020E6100000E9537D9D8ADA0C4070F48CD8826D4940,0101000020777F0000B41807EDE08F2041C49DA36BE47D5541,iso results
8587,102,2023-08-09 10:00:42,51.0154084,3.7756242,18.0,18.0,583.0,593.0,795.0,802.0,18.0,17.0,15.0,16.0,0101000020E6100000AAE3E7757A340E40B60A07E7F8814940,0101000020777F000097F343BB4DEB2041EF45E5275C8F5541,iso results
8935,102,2023-05-19 01:37:52,50.8555502,3.6067412,10.0,8.0,576.0,596.0,801.0,801.0,17.0,18.0,15.0,14.0,0101000020E61000001C1659219BDA0C400B8B40AB826D4940,0101000020777F0000B8D5BE5EE58F204116B85F46E47D5541,iso results
9067,102,2023-03-06 02:10:10,50.8566111,3.6081479,3.0,4.0,572.0,565.0,798.0,793.0,22.0,18.0,6.0,6.0,0101000020E6100000730C6DA57CDD0C40FFF1B96EA56D4940,0101000020777F0000398CF773A9902041FE14ADF8017E5541,iso results
9311,102,2023-01-25 09:17:49,51.0165143,3.7726385,6.0,3.0,552.0,596.0,800.0,806.0,28.0,18.0,19.0,13.0,0101000020E6100000410B09185D2E0E404A35FD231D824940,0101000020777F00007B56064AA8E92041FCD9B9597A8F5541,iso results
