,mapped_veh_id,timestamps_utc,lat,lon,rs_e_inairtemp_pc1,rs_e_inairtemp_pc2,rs_e_oilpress_pc1,rs_e_oilpress_pc2,rs_e_rpm_pc1,rs_e_rpm_pc2,rs_e_wattemp_pc1,rs_e_wattemp_pc2,rs_t_oiltemp_pc1,rs_t_oiltemp_pc2,pg_point,utm_point,anomaly id
11871,102,2023-03-11 09:07:10,50.8567185,3.6081125,2.0,2.0,576.0,576.0,797.0,797.0,23.0,18.0,4.0,4.0,0101000020E6100000764F1E166ADD0C4068B0A9F3A86D4940,0101000020777F0000687AEB45A490204114C3B4F3047E5541,iso results
11995,102,2023-03-06 02:05:07,50.8566115,3.6081336,2.0,3.0,627.0,627.0,798.0,798.0,7.0,6.0,3.0,4.0,0101000020E61000003BCA1C2675DD0C4052F01472A56D4940,0101000020777F0000ED227370A79020412B16FEFA017E5541,iso results
12006,102,2023-03-20 00:26:45,50.8548562,3.6058035,5.0,6.0,572.0,576.0,796.0,799.0,26.0,18.0,10.0,8.0,0101000020E61000002F6B6281AFD80C4034E48EED6B6D4940,0101000020777F00005CA70EA2628F2041DDD3A8D8D07D5541,iso results
12048,102,2023-03-01 13:42:29,51.0155727,3.7752311,16.0,6.0,569.0,586.0,798.0,798.0,18.0,13.0,12.0,8.0,0101000020E6100000A2BCEA5CAC330E40EF9A4649FE814940,0101000020777F00008E97FB3216EB204137EBA3A6608F5541,iso results
12069,102,2023-03-20 00:24:34,50.8549744,3.6059664,4.666666666666667,5.0,598.6666666666666,594.3333333333334,800.3333333333334,800.3333333333334,15.0,13.0,7.0,8.0,0101000020E610000080CC73E904D90C40687517CD6F6D4940,0101000020777F000042278359798F204120BFE127D47D5541,iso results
12088,102,2023-03-06 02:09:06,50.8562849,3.6077085,3.0,3.0,562.0,579.0,802.0,799.0,20.0,16.0,8.0,4.0,0101000020E61000007E02284696DC0C4081C75CBE9A6D4940,0101000020777F00008A9911326C902041D865E4D6F87D5541,iso results
12101,102,2023-03-20 00:24:54,50.8552099,3.6062433,5.0,5.0,586.0,610.0,802.0,798.0,17.0,14.0,7.0,8.0,0101000020E61000005A5A571696D90C4093DB9B84776D4940,0101000020777F0000EB357DE69F8F20410B541EBEDA7D5541,iso results
12126,102,2023-03-20 00:26:44,50.855209,3.6062199,5.0,6.0,552.0,579.0,800.0,803.0,25.0,18.0,14.0,8.0,0101000020E6100000A279A5D189D90C40581F0F7D776D4940,0101000020777F00000F0D9E9B9C8F20415C2CD9B6DA7D5541,iso results
12128,102,2023-06-27 22:42:51,51.0058014,3.7878105,22.0,22.0,600.0,638.0,1122.0,1208.0,30.0,28.0,24.0,24.0,0101000020E6100000329067976F4D0E40B1A2AB19BE804940,0101000020777F0000BD390A2F12F220411B75EB57538E5541,iso results
12181,102,2023-02-06 00:06:04,50.8549761,3.6057762,3.0,4.0,614.0,624.0,799.0,800.0,11.0,11.0,3.0,5.0,0101000020E6100000AE8F3D31A1D80C404A2E5ADB6F6D4940,0101000020777F0000EC653B925E8F20410610F42CD47D5541,iso results
12211,102,2023-02-27 05:40:19,51.0137384,3.7794202,1.0,1.0,586.0,538.0,798.0,804.0,17.0,33.0,9.0,19.0,0101000020E6100000F7BB66A8403C0E4085590D2EC2814940,0101000020777F00006DD6363366ED2041D66F676E2E8F5541,iso results
