ID,Name,Lat,Lon
1,Antwerp-North Traction,51.29094774211651,4.37795199102595
2,Arlon Traction,49.67854650722271,5.817391576234034
3,Charleroi Traction,50.40484756719974,4.445671068909018
4,Cuesmes Central Workshop,50.44624348600651,3.9331111805495063
5,Hasselt Traction,50.93712038168791,5.305038893997984
6,Kinkempois traction,50.609993132795594,5.583916797755063
7,Mechelen Central Workshop,51.01589234908066,4.489046524516095
8,Melle Multi-purpose Workshop,51.00874668023196,3.787838411265939
9,Ostend Traction,51.21868073196079,2.9403100112761176
10,Salzinnes Central Workshop,50.46827614008381,4.843935297681405
11,Forest TGV Workshop,50.82059393085774,4.317040482420635
